Date,Open,High,Low,Close,Volume
2026-03-26,4441.50,4443.10,4375.50,4375.50,1070
2026-03-27,4492.00,4492.00,4492.00,4492.00,74348
2026-03-30,4482.80,4579.10,4413.40,4526.00,10816
2026-03-31,4510.00,4684.10,4508.60,4647.60,4264
2026-04-01,4668.40,4789.10,4668.00,4783.20,1637
2026-04-02,4764.90,4784.40,4558.90,4651.50,0
2026-04-06,4656.10,4689.60,4605.00,4656.80,148
2026-04-07,4624.90,4676.30,4608.00,4657.10,327
2026-04-08,4760.00,4851.00,4738.80,4749.50,405
2026-04-09,4711.00,4799.10,4711.00,4792.20,1277
2026-04-10,4745.90,4791.00,4744.90,4761.90,812
2026-04-13,4704.00,4742.40,4704.00,4742.40,32
2026-04-14,4770.10,4841.60,4770.10,4825.00,288
2026-04-15,4843.60,4843.60,4798.00,4800.00,182
2026-04-16,4810.90,4810.90,4785.40,4785.40,805
2026-04-17,4771.60,4879.70,4767.20,4857.60,1902
2026-04-20,4793.90,4811.00,4770.00,4806.60,724
2026-04-21,4698.40,4705.00,4676.40,4698.40,1197
2026-04-22,4754.20,4754.20,4732.50,4732.50,765
2026-04-23,4711.50,4732.40,4705.10,4705.10,292
2026-04-24,4695.00,4722.30,4657.50,4722.30,45
2026-04-27,4707.60,4711.10,4675.40,4675.40,538
2026-04-28,4680.90,4680.90,4591.50,4591.50,2660
2026-04-29,4598.60,4601.60,4515.70,4545.20,507
2026-04-30,4561.90,4636.70,4561.90,4614.70,77
2026-05-01,4636.70,4636.70,4581.70,4629.90,113
2026-05-04,4581.20,4581.20,4512.70,4519.50,20
2026-05-05,4547.60,4580.50,4547.60,4555.80,426
2026-05-06,4663.60,4712.60,4663.60,4681.90,212
2026-05-07,4704.80,4736.20,4699.80,4699.80,254
2026-05-08,4714.40,4724.80,4713.60,4720.40,120
2026-05-11,4729.50,4729.50,4718.70,4718.70,36
2026-05-12,4762.20,4765.20,4677.60,4677.60,93
2026-05-13,4722.70,4722.70,4679.50,4697.70,228
2026-05-14,4678.10,4678.10,4650.30,4678.10,5
2026-05-15,4615.20,4615.20,4524.30,4555.80,607
2026-05-18,4563.00,4570.30,4538.70,4552.50,38
2026-05-19,4551.70,4552.60,4506.20,4506.30,875
2026-05-20,4502.60,4531.30,4465.10,4531.30,981
2026-05-21,4507.20,4539.80,4503.80,4539.80,426
2026-05-22,4519.50,4530.30,4519.10,4521.00,40
2026-05-26,4572.80,4572.80,4500.40,4500.40,1261
2026-05-27,4439.70,4447.50,4439.70,4447.50,81062
2026-05-28,4453.60,4512.60,4363.50,4499.30,16427
2026-05-29,4494.00,4591.80,4487.90,4560.50,1883
2026-06-01,4523.50,4541.40,4449.70,4475.20,835
2026-06-02,4488.00,4529.50,4474.20,4489.10,456
2026-06-03,4471.20,4471.70,4427.20,4436.70,2913
2026-06-04,4447.40,4509.90,4447.40,4475.80,480
2026-06-05,4472.30,4472.30,4319.10,4337.10,4062
2026-06-08,4324.20,4340.90,4284.60,4335.90,357
2026-06-09,4332.80,4344.50,4240.20,4260.00,1292
2026-06-10,4200.00,4206.70,4100.00,4108.20,525
2026-06-11,4042.90,4209.80,4031.00,4090.30,1938
2026-06-12,4208.30,4225.30,4173.20,4215.00,1167
2026-06-15,4271.20,4362.00,4269.10,4328.00,1666
2026-06-16,4309.50,4345.80,4309.50,4330.90,158
2026-06-17,4339.00,4377.00,4296.00,4358.90,1961
2026-06-18,4279.80,4323.20,4223.70,4224.10,738
2026-06-22,4138.80,4216.40,4134.80,4181.90,1197
2026-06-23,4127.10,4135.20,4118.50,4129.90,252
2026-06-24,4104.40,4104.70,3963.30,3990.30,353
2026-06-25,3988.40,4030.50,3986.70,4030.50,2724
2026-06-26,4078.70,4078.70,4078.70,4078.70,1431
2026-06-29,4057.50,4070.00,4003.20,4022.30,785
2026-06-30,4002.60,4049.70,3962.50,4022.90,1108
2026-07-01,4013.10,4100.00,3963.00,4068.30,770
2026-07-02,4067.50,4140.10,4062.00,4112.70,228
2026-07-06,4175.40,4199.70,4134.20,4155.10,1024
2026-07-07,4126.50,4167.20,4107.20,4145.30,53
2026-07-08,4116.30,4120.30,4053.00,4070.90,292
2026-07-09,4066.40,4130.60,4064.20,4130.60,13
2026-07-10,4122.30,4125.80,4090.60,4104.10,389
2026-07-13,4081.00,4081.00,3985.90,3997.00,679
2026-07-14,3995.70,4091.20,3986.50,4061.10,1281
2026-07-15,4049.10,4070.10,4019.40,4044.00,374
2026-07-16,4030.50,4030.50,3972.60,3985.60,812
2026-07-17,3975.50,4017.20,3964.20,4012.70,141
2026-07-20,4003.40,4018.90,4002.70,4010.30,231
2026-07-21,4002.10,4071.10,3999.70,4071.10,87
2026-07-22,4096.20,4152.10,4096.20,4146.90,133
2026-07-23,4129.90,4130.90,4046.60,4046.60,59
2026-07-24,4067.60,4068.00,4067.60,4067.60,2
2026-07-27,4090.10,4107.90,4072.70,4074.50,36
2026-07-28,4025.70,4036.30,4025.70,4036.30,248
2026-07-29,4018.10,4034.70,4017.90,4034.70,89664
2026-07-30,4060.70,4118.50,4028.50,4100.10,16985
2026-07-31,4102.40,4102.40,4022.40,4049.10,1166
2026-08-03,4083.40,4083.50,4026.50,4033.70,698
2026-08-04,4050.50,4095.40,4048.80,4095.40,426
2026-08-05,4130.00,4262.20,4129.50,4245.80,1349
2026-08-06,4297.00,4297.00,4228.00,4242.00,1349
2026-08-07,4298.30,4432.30,4288.00,4406.80,139133
